Date,DBS Stock Price,USD/SGD
2024-09-02,36.8,1.307
2024-09-03,37.25,1.3071
2024-09-04,36.6,1.3037
2024-09-05,36.65,1.3
2024-09-06,36.53,1.3024
2024-09-09,37.19,1.3053
2024-09-10,37.18,1.3043
2024-09-11,37.29,1.3036
2024-09-12,37.8,1.3013
2024-09-13,37.94,1.2975
2024-09-16,38.0,1.2948
2024-09-17,38.0,1.2969
2024-09-18,38.1,1.295
2024-09-19,38.5,1.2915
2024-09-20,39.0,1.2897
2024-09-23,39.46,1.2903
2024-09-24,38.83,1.2834
2024-09-25,38.37,1.2895
2024-09-26,38.3,1.2828
2024-09-27,37.6,1.2807
2024-09-30,38.05,1.2848
2024-10-01,37.89,1.288
2024-10-02,37.77,1.2916
2024-10-03,37.84,1.2967
2024-10-04,38.04,1.3046
2024-10-07,38.36,1.304
2024-10-08,38.35,1.3037
2024-10-09,38.8,1.307
2024-10-10,38.74,1.3055
2024-10-11,38.69,1.3048
2024-10-14,39.13,1.3083
2024-10-15,39.4,1.309
2024-10-16,39.0,1.3132
2024-10-17,39.52,1.3139
2024-10-18,39.7,1.3102
2024-10-21,39.16,1.3162
2024-10-22,38.98,1.3161
2024-10-23,39.18,1.3227
2024-10-24,39.3,1.3177
2024-10-25,39.15,1.3209
2024-10-28,39.08,1.3222
2024-10-29,39.29,1.3237
2024-10-30,38.66,1.3221
2024-11-01,38.75,1.3255
2024-11-04,39.06,1.3196
2024-11-05,39.09,1.3135
2024-11-06,39.15,1.3329
2024-11-07,41.7,1.32
2024-11-08,42.4,1.3258
2024-11-11,42.75,1.3335
2024-11-12,42.34,1.338
2024-11-13,42.78,1.3428
2024-11-14,43.02,1.3458
2024-11-15,42.94,1.3426
2024-11-18,42.4,1.3385
2024-11-19,42.57,1.3373
2024-11-20,42.21,1.3425
2024-11-21,42.56,1.3463
2024-11-22,42.33,1.3462
2024-11-25,42.25,1.3456
2024-11-26,41.71,1.3465
2024-11-27,41.85,1.3402
2024-11-28,42.25,1.342
2024-11-29,42.43,1.3387
2024-12-02,42.55,1.3443
2024-12-03,43.51,1.3446
2024-12-04,43.82,1.3438
2024-12-05,44.26,1.3388
2024-12-06,43.68,1.3415
2024-12-09,43.65,1.3404
2024-12-10,44.0,1.3417
2024-12-11,43.68,1.3442
2024-12-12,43.8,1.3468
2024-12-13,43.74,1.3481
2024-12-16,44.31,1.3498
2024-12-17,44.21,1.3496
2024-12-18,43.37,1.3631
2024-12-19,43.4,1.3607
2024-12-20,42.82,1.3551
2024-12-23,43.36,1.3574
2024-12-24,43.6,1.3586
2024-12-26,43.54,1.3589
2024-12-27,43.55,1.3582
2024-12-30,43.85,1.3598
2024-12-31,43.72,1.3652
2025-01-02,43.96,1.3698
2025-01-03,43.62,1.3696
2025-01-06,43.95,1.3633
2025-01-07,44.5,1.3641
2025-01-08,45.44,1.3677
2025-01-09,45.0,1.3674
2025-01-10,44.13,1.3714
2025-01-13,44.07,1.3695
2025-01-14,43.9,1.3664
2025-01-15,43.5,1.3669
2025-01-16,43.78,1.3661
2025-01-17,43.85,1.3695
2025-01-20,43.62,1.356
2025-01-21,43.53,1.3517
2025-01-22,43.32,1.3553
2025-01-23,43.81,1.3553
2025-01-24,43.51,1.3458
2025-01-27,43.6,1.3442
2025-01-28,43.73,1.351
2025-01-31,44.61,1.3583
2025-02-03,44.31,1.359
2025-02-04,44.42,1.3513
2025-02-05,44.32,1.3485
2025-02-06,44.32,1.3505
2025-02-07,44.68,1.3544
2025-02-10,45.38,1.3553
2025-02-11,44.85,1.353
2025-02-12,44.96,1.3525
2025-02-13,45.06,1.3429
2025-02-14,44.84,1.3389
2025-02-17,45.0,1.3408
2025-02-18,45.8,1.3415
2025-02-19,46.04,1.3424
2025-02-20,46.08,1.3332
2025-02-21,46.62,1.3359
2025-02-24,46.35,1.3381
2025-02-25,46.55,1.3355
2025-02-26,46.67,1.338
2025-02-27,46.61,1.3484
2025-02-28,45.9,1.3506
2025-03-03,45.77,1.3462
2025-03-04,45.53,1.3376
2025-03-05,45.62,1.3309
2025-03-06,45.96,1.3324
2025-03-07,45.98,1.3306
2025-03-10,45.85,1.3337
2025-03-11,44.23,1.3302
2025-03-12,44.46,1.3325
2025-03-13,44.1,1.3356
2025-03-14,44.25,1.3334
2025-03-17,44.36,1.3294
2025-03-18,45.03,1.3305
2025-03-19,45.2,1.3305
2025-03-20,45.4,1.3349
2025-03-21,45.31,1.3356
2025-03-24,45.49,1.3384
2025-03-25,46.05,1.3352
2025-03-26,46.39,1.3398
2025-03-27,46.58,1.3393
2025-03-28,46.47,1.3424
2025-04-01,46.11,1.3437
2025-04-02,46.04,1.3469
2025-04-03,45.52,1.3328
2025-04-04,43.3,1.3455
2025-04-07,39.28,1.3528
2025-04-08,38.0,1.3528
2025-04-09,37.16,1.3384
2025-04-10,39.67,1.3313
2025-04-11,38.13,1.3186
2025-04-14,38.81,1.3152
2025-04-15,39.96,1.3181
2025-04-16,40.1,1.3106
2025-04-17,40.83,1.31
2025-04-21,41.42,1.305
2025-04-22,41.85,1.3114
2025-04-23,42.88,1.3158
2025-04-24,42.34,1.3113
2025-04-25,42.35,1.3156
2025-04-28,42.3,1.3085
2025-04-29,42.08,1.3086
2025-04-30,42.45,1.3066
2025-05-02,42.7,1.2976
2025-05-05,42.88,1.2899
2025-05-06,42.99,1.2878
2025-05-07,42.76,1.2947
2025-05-08,43.09,1.3007
2025-05-09,43.56,1.2981
2025-05-13,44.08,1.3011
2025-05-14,44.1,1.3015
